cohort	joint_predicted_plddt_cutoff	metric	proteins	proteins_with_metric	median	q25	q75	positive	negative	approximately_zero
same_proteins_all_thresholds	0	paired_delta_rmsd_angstrom	16	16	0.5434792733096442	0.07308233568814597	1.0208066427558937	13	3	0
same_proteins_all_thresholds	0	paired_delta_local_mean_absolute_difference_angstrom	16	16	0.1064788538461652	0.06412829048836052	0.2049464103049845	15	1	0
same_proteins_all_thresholds	0	paired_delta_local_rms_difference_angstrom	16	16	0.23752994447919012	0.111413790743205	0.40559379812247315	14	2	0
same_proteins_all_thresholds	70	af_experiment_rmsd_angstrom	16	16	1.052510355147498	0.6649429158413245	1.2861839188248667			
same_proteins_all_thresholds	70	af_experiment_local_mean_absolute_difference_angstrom	16	16	0.35469354487045834	0.29129910563420963	0.47501028148095226			
same_proteins_all_thresholds	70	af_experiment_local_rms_difference_angstrom	16	16	0.5368128781136198	0.41597370376234133	0.7141812114835533			
same_proteins_all_thresholds	70	esm_experiment_rmsd_angstrom	16	16	1.5571985569282543	1.0217718134631768	1.917407246464152			
same_proteins_all_thresholds	70	esm_experiment_local_mean_absolute_difference_angstrom	16	16	0.4245709121527358	0.38735144301738317	0.5906467759653151			
same_proteins_all_thresholds	70	esm_experiment_local_rms_difference_angstrom	16	16	0.7566513281564097	0.5953405993157226	0.8471071027821733			
same_proteins_all_thresholds	70	af_esm_rmsd_angstrom	16	16	1.0301982625402428	0.7432113636488762	1.5682321958210033			
same_proteins_all_thresholds	70	af_esm_local_mean_absolute_difference_angstrom	16	16	0.23738383120794293	0.21022381380590635	0.2960870315297606			
same_proteins_all_thresholds	70	af_esm_local_rms_difference_angstrom	16	16	0.43807543667822774	0.3182229462278611	0.5613587672453182			
same_proteins_all_thresholds	70	paired_delta_rmsd_angstrom	16	16	0.47109993940593986	0.1305595376455558	0.8129964551289007	14	2	0
same_proteins_all_thresholds	70	paired_delta_local_mean_absolute_difference_angstrom	16	16	0.08380201872219656	0.05777124695592212	0.12370949728315543	16	0	0
same_proteins_all_thresholds	70	paired_delta_local_rms_difference_angstrom	16	16	0.1213519516543265	0.09775953612781574	0.29788627859304867	16	0	0
same_proteins_all_thresholds	90	af_experiment_rmsd_angstrom	16	16	0.823201214122433	0.5276339857544241	1.2897153982959528			
same_proteins_all_thresholds	90	af_experiment_local_mean_absolute_difference_angstrom	16	16	0.3323650164952867	0.22432029092986866	0.3853420240048586			
same_proteins_all_thresholds	90	af_experiment_local_rms_difference_angstrom	16	16	0.44930127613085524	0.3062137182816983	0.6097178326800277			
same_proteins_all_thresholds	90	esm_experiment_rmsd_angstrom	16	16	1.2011632246821144	0.7467331618207477	1.7834873700316325			
same_proteins_all_thresholds	90	esm_experiment_local_mean_absolute_difference_angstrom	16	16	0.3676427483252668	0.2818434889927533	0.41881351453763715			
same_proteins_all_thresholds	90	esm_experiment_local_rms_difference_angstrom	16	16	0.4985733634952084	0.38790497445597366	0.6714931825942648			
same_proteins_all_thresholds	90	af_esm_rmsd_angstrom	16	16	0.6645028712643447	0.4386910411554935	1.0952492285954505			
same_proteins_all_thresholds	90	af_esm_local_mean_absolute_difference_angstrom	16	16	0.1774995869039017	0.14821832363233206	0.2044219562420672			
same_proteins_all_thresholds	90	af_esm_local_rms_difference_angstrom	16	16	0.2663370645641872	0.22028224340187436	0.29837652636210366			
same_proteins_all_thresholds	90	paired_delta_rmsd_angstrom	16	16	0.2994818961107869	0.08253796494806073	0.6072028159450437	15	1	0
same_proteins_all_thresholds	90	paired_delta_local_mean_absolute_difference_angstrom	16	16	0.04815865264216297	0.02299223140213058	0.07314135031005244	16	0	0
same_proteins_all_thresholds	90	paired_delta_local_rms_difference_angstrom	16	16	0.06657296326269979	0.022626518646581918	0.11649058214162694	16	0	0
