cohort	joint_predicted_plddt_cutoff	metric	proteins	proteins_with_metric	median	q25	q75	positive	negative	approximately_zero
all_available	0	af_experiment_rmsd_angstrom	12	12	3.352904037294701	2.4795699589333564	9.628970287208734			
all_available	0	af_experiment_local_mean_absolute_difference_angstrom	12	12	0.864543981505012	0.45692207746231506	1.5710663242489051			
all_available	0	af_experiment_local_rms_difference_angstrom	12	12	1.4774974128503628	1.0139083531123165	3.7763562307635787			
all_available	0	esm_experiment_rmsd_angstrom	12	12	23.090022962146545	12.57591327618959	30.843263983038696			
all_available	0	esm_experiment_local_mean_absolute_difference_angstrom	12	12	2.192967611568843	1.8132713248963568	3.1266497552265795			
all_available	0	esm_experiment_local_rms_difference_angstrom	12	12	6.375426109255188	4.331698378328583	10.87501776349957			
all_available	0	af_esm_rmsd_angstrom	12	12	21.30116757491028	8.001046548498138	31.009597759006482			
all_available	0	af_esm_local_mean_absolute_difference_angstrom	12	12	1.6876088068379094	0.9506951502816007	2.9591040575316736			
all_available	0	af_esm_local_rms_difference_angstrom	12	12	4.231913995400058	3.2730763027324756	10.548430590664994			
all_available	0	paired_delta_rmsd_angstrom	12	12	5.527650299846349	3.534196826909012	23.15054259586278	10	2	0
all_available	0	paired_delta_local_mean_absolute_difference_angstrom	12	12	1.3596755995376473	0.6316835564662329	2.600426879702018	12	0	0
all_available	0	paired_delta_local_rms_difference_angstrom	12	12	3.256454799888055	2.249115305109682	9.820848743748016	11	1	0
all_available	70	af_experiment_rmsd_angstrom	9	9	2.315840501448215	1.386457602061525	3.6072378322274385			
all_available	70	af_experiment_local_mean_absolute_difference_angstrom	9	9	0.37605163260026137	0.2941402437815024	0.8190158898130606			
all_available	70	af_experiment_local_rms_difference_angstrom	9	9	0.644879976413735	0.5066716780295109	1.3530495954943234			
all_available	70	esm_experiment_rmsd_angstrom	9	9	19.731762411266494	6.6280195241167945	24.37962490405692			
all_available	70	esm_experiment_local_mean_absolute_difference_angstrom	9	9	0.8493843024221409	0.8252386217923683	1.260988794497945			
all_available	70	esm_experiment_local_rms_difference_angstrom	9	9	4.6497573235859075	1.2094554121553138	5.478114507388405			
all_available	70	af_esm_rmsd_angstrom	9	9	20.32926179841908	3.015585094842224	23.128323112955673			
all_available	70	af_esm_local_mean_absolute_difference_angstrom	9	9	0.5128730881139504	0.27359243143914624	0.718124851147244			
all_available	70	af_esm_local_rms_difference_angstrom	9	9	1.1517628490433396	0.4598940281886028	5.243614249329079			
all_available	70	paired_delta_rmsd_angstrom	9	9	4.164530874883155	0.3176058227749884	21.584792599661494	7	2	0
all_available	70	paired_delta_local_mean_absolute_difference_angstrom	9	9	0.40846531173181816	0.1498026335751923	0.5049203783720191	9	0	0
all_available	70	paired_delta_local_rms_difference_angstrom	9	9	0.6271220240932964	0.12392862849052752	4.903004944678925	8	1	0
all_available	90	af_experiment_rmsd_angstrom	1	1	1.1345583593622606	1.1345583593622606	1.1345583593622606			
all_available	90	af_experiment_local_mean_absolute_difference_angstrom	1	1	0.30004411812942844	0.30004411812942844	0.30004411812942844			
all_available	90	af_experiment_local_rms_difference_angstrom	1	1	0.38589968415403597	0.38589968415403597	0.38589968415403597			
all_available	90	esm_experiment_rmsd_angstrom	1	1	22.03627413721388	22.03627413721388	22.03627413721388			
all_available	90	esm_experiment_local_mean_absolute_difference_angstrom	1	1	0.4077257482490882	0.4077257482490882	0.4077257482490882			
all_available	90	esm_experiment_local_rms_difference_angstrom	1	1	1.590589737788411	1.590589737788411	1.590589737788411			
all_available	90	af_esm_rmsd_angstrom	1	1	22.296889611481557	22.296889611481557	22.296889611481557			
all_available	90	af_esm_local_mean_absolute_difference_angstrom	1	1	0.23430978749745707	0.23430978749745707	0.23430978749745707			
all_available	90	af_esm_local_rms_difference_angstrom	1	1	1.5809338761700051	1.5809338761700051	1.5809338761700051			
all_available	90	paired_delta_rmsd_angstrom	1	1	20.898718841958466	20.898718841958466	20.898718841958466	1	0	0
all_available	90	paired_delta_local_mean_absolute_difference_angstrom	1	1	0.10202182793807102	0.10202182793807102	0.10202182793807102	1	0	0
all_available	90	paired_delta_local_rms_difference_angstrom	1	1	1.195811692377475	1.195811692377475	1.195811692377475	1	0	0
same_proteins_all_thresholds	0	af_experiment_rmsd_angstrom	1	1	1.63305510735903	1.63305510735903	1.63305510735903			
same_proteins_all_thresholds	0	af_experiment_local_mean_absolute_difference_angstrom	1	1	0.455896125107113	0.455896125107113	0.455896125107113			
same_proteins_all_thresholds	0	af_experiment_local_rms_difference_angstrom	1	1	0.8439715452692522	0.8439715452692522	0.8439715452692522			
